ID_REF,VALUE,ABS_CALL,DETECTION P-VALUE
33862_at,1075.4,A,0.37818
38052_at,660.6,A,0.78102
37002_at,662.0,P,0.03134
34153_at,263.0,A,0.8927
35030_i_at,66.8,A,0.14027
35937_at,781.3,P,0.00022
40587_s_at,182.8,P,0.017
644_at,131.6,A,0.83707
36194_at,700.5,P,0.00418
33389_at,89.3,P,0.00022
938_at,176.3,A,0.26746
40266_at,408.5,A,0.08134
33483_at,115.7,A,0.52062
31778_at,349.4,A,0.93958
31913_at,229.5,A,0.8927
38878_at,235.8,A,0.9807
39483_s_at,17.9,A,0.88284
35567_at,173.9,A,0.8927
37336_at,397.0,P,0.00081
31307_at,195.6,A,0.98855
37105_at,380.9,A,0.47938
35975_at,120.3,A,0.58193
1409_at,479.1,A,0.15053
32040_i_at,33.7,A,0.91358
1482_g_at,111.0,A,0.41807
40619_at,162.4,A,0.54118
1778_g_at,74.4,A,0.20402
37955_at,280.2,P,0.0016
38337_at,452.9,P,0.03937
34747_at,300.9,A,0.91866
33745_at,404.1,A,0.83707
40526_at,123.2,A,0.69745
722_at,113.8,A,0.28475
36331_at,72.6,A,0.1073
130_s_at,224.6,A,0.93314
32892_at,223.2,A,0.94553
38389_at,149.3,A,0.18969
32117_at,587.0,P,0.0016
34417_at,85.6,A,0.37818
33213_g_at,562.5,P,0.01145
571_at,1993.99,P,0.00022
2061_at,45.6269,A,0.17599
39350_at,63.8507,A,0.28475
35176_at,453.712,A,0.13877
39138_g_at,451.464,A,0.30255
32402_s_at,143.872,A,0.33956
31685_at,783.352,A,0.5
41796_at,417.761,P,0.00047
39307_s_at,92.3727,P,0.00754
39657_at,1276.54,A,0.11716
37777_at,68.4429,A,0.9807
33150_at,170.727,P,0.00189
32682_at,163.983,P,0.03516
37991_at,310.288,P,0.00223
1921_at,48.9191,A,0.69745
35020_at,177.911,A,0.16294
32421_at,92.0264,A,0.96484
31529_at,594.048,A,0.81031
36750_at,121.504,A,0.12765
35016_at,881.326,P,0.00067
33603_at,218.781,A,0.93314
40484_g_at,495.734,A,0.67917
36486_at,122.962,A,0.43836
36043_at,287.735,A,0.95603
40897_at,282.208,A,0.64131
38718_at,353.75,A,0.08941
565_at,169.809,A,0.98506
36019_at,551.324,P,0.00189
33119_at,60.4332,A,0.09805
37855_at,374.607,P,0.00262
32592_at,1178.18,P,0.00359
38843_at,168.357,A,0.13877
35972_at,158.79,A,0.30255
32683_at,20.7411,A,0.98506
244_at,417.241,A,0.09805
33444_at,547.388,M,0.049
41470_at,86.8769,A,0.69745
36333_at,5150.59,P,0.00022
38641_at,881.607,P,0.03516
41285_at,215.437,A,0.87236
38111_at,683.985,P,0.00022
41827_f_at,463.256,P,0.00869
31942_at,721.555,A,0.41807
1232_s_at,148.542,P,0.02187
1254_at,332.76,A,0.16294
33561_at,507.76,A,0.37818
41677_at,803.05,A,0.76544
823_at,240.197,A,0.60201
35845_at,152.017,P,0.00032
34759_at,753.35,P,0.00223
40538_at,289.051,A,0.92617
32343_at,109.211,A,0.28475
32664_at,136.146,A,0.62182
40719_at,487.792,P,0.01309
542_at,91.883,A,0.18969
35352_at,111.541,A,0.54118
33159_at,282.53,A,0.73254
35932_at,246.342,A,0.47938
32721_at,76.5986,P,0.01494
31482_at,829.143,A,0.88284
40934_at,116.383,A,0.12765
40447_at,503.191,A,0.30255
32884_at,118.681,A,0.39799
32745_at,252.111,P,0.00999
39981_at,50.4908,A,0.52062
39476_at,161.963,A,0.06042
41511_at,450.103,A,0.71525
35417_at,415.899,A,0.58193
